1,Tait Mc Caughan,tmc0@scribd.com,Finland,17:11,785
2,Padget McKee,pmckee1@hexun.com,China,20:19,537
3,Yalonda Jermyn,yjermyn2@omniture.com,China,18:11,579
4,Diannne Pharrow,dpharrow3@icio.us,Mongolia,23:16,1238
5,Saree Nobes,snobes4@google.com.au,Czech Republic,0:31,1398
6,Virginie Maslin,vmaslin5@geocities.jp,Indonesia,23:43,744
7,Lorne Gaukrodge,lgaukrodge6@cyberchimps.com,Brazil,8:12,963
8,Carmella Tapenden,ctapenden7@wikipedia.org,China,0:33,713
9,Melonie Bleeze,mbleeze8@uol.com.br,Indonesia,2:28,585
10,Fax Cordaroy,fcordaroy9@i2i.jp,Russia,1:44,1163
